"county","key","val"
"Alameda","p10",0.000495047541748569
"Alpine","p10",0.000861326442721792
"Amador","p10",0.000237554769571874
"Butte","p10",0.00033644162965051
"Calaveras","p10",0.000395882818685669
"Colusa","p10",0.000279889909968746
"Contra Costa","p10",0.000852224143500485
"Del Norte","p10",0.000245046558846181
"El Dorado","p10",0.000706651355887289
"Fresno","p10",0.000233895791914287
"Glenn","p10",0.000106659082020834
"Humboldt","p10",0.000399973335110993
"Imperial","p10",0.000228942970306097
"Inyo","p10",0.000270109664523797
"Kern","p10",0.000453034259378166
"Kings","p10",0.000269081840257269
"Lake","p10",0.00012358075229783
"Lassen","p10",0.000114840228532055
"Los Angeles","p10",0.000622808387370122
"Madera","p10",0.000264925224855285
"Marin","p10",0.00120203713662101
"Mariposa","p10",0.000328281446626908
"Mendocino","p10",0.000466975705873643
"Merced","p10",0.000307727065569237
"Modoc","p10",0.00010315659170621
"Mono","p10",0.000841691800519043
"Monterey","p10",0.000530774089578335
"Napa","p10",0.000409479449250141
"Nevada","p10",0.000566858993825286
"Orange","p10",0.000668618794754924
"Placer","p10",0.000648532516620431
"Plumas","p10",0.000150647785477553
"Riverside","p10",0.000338393950515449
"Sacramento","p10",0.000351770071824413
"San Benito","p10",0.000342243677498379
"San Bernardino","p10",0.00031506511018949
"San Diego","p10",0.000581333147719202
"San Joaquin","p10",0.000333271724149975
"San Luis Obispo","p10",0.00114899074135848
"San Mateo","p10",0.000762818900679312
"Santa Barbara","p10",0.00356645318234641
"Santa Clara","p10",0.000686994692168149
"Santa Cruz","p10",0.00090443744371017
"Shasta","p10",0.000389227974773514
"Sierra","p10",0.00031055900621118
"Siskiyou","p10",0.000155770172237305
"Solano","p10",0.000379257283793153
"Sonoma","p10",0.000571422677434993
"Stanislaus","p10",0.000339710178687554
"Tehama","p10",0.000188800956591513
"Trinity","p10",0.000218102508178844
"Tulare","p10",0.000404091482699692
"Tuolumne","p10",0.000199311469469107
"Ventura","p10",0.00157072441179643
"Yolo","p10",0.000561984950739284
"Yuba","p10",0.00015204290374302
"Alameda","p11",0.000484677464130928
"Alpine","p11",0
"Amador","p11",0.000266361239112484
"Butte","p11",0.000281850210251165
"Calaveras","p11",0.000354295837023915
"Colusa","p11",0.000328284012568588
"Contra Costa","p11",0.000773389397807479
"Del Norte","p11",0.000140632141475934
"El Dorado","p11",0.000696378830083565
"Fresno","p11",0.000223545517060781
"Glenn","p11",0.000142151462383169
"Humboldt","p11",0.000332734411392826
"Imperial","p11",0.000255993082498037
"Inyo","p11",0.000108742931709439
"Kern","p11",0.000431619043126526
"Kings","p11",0.000289725287749888
"Lake","p11",9.33837605640379e-05
"Lassen","p11",8.76014717047246e-05
"Los Angeles","p11",0.000614895060812139
"Madera","p11",0.000257128729190704
"Marin","p11",0.00101027504542322
"Mariposa","p11",0.000275178866263071
"Mendocino","p11",0.000458011770902512
"Merced","p11",0.0003432357489674
"Modoc","p11",0.000210327058576086
"Mono","p11",0.000832062127305505
"Monterey","p11",0.000508971212207698
"Napa","p11",0.000421233050816684
"Nevada","p11",0.000567370138093839
"Orange","p11",0.000646384004570273
"Placer","p11",0.000597763858018455
"Plumas","p11",0.000152137532329226
"Riverside","p11",0.000328995958049658
"Sacramento","p11",0.000348740697341898
"San Benito","p11",0.000339425121031852
"San Bernardino","p11",0.000308128726962525
"San Diego","p11",0.000567074127011854
"San Joaquin","p11",0.000299559014566057
"San Luis Obispo","p11",0.00104774623881236
"San Mateo","p11",0.000698845600430566
"Santa Barbara","p11",0.00315663539803457
"Santa Clara","p11",0.000673269118911467
"Santa Cruz","p11",0.000853287421939303
"Shasta","p11",0.000366015721783003
"Sierra","p11",0.000322788896061975
"Siskiyou","p11",0.000224139863274683
"Solano","p11",0.000374691959975213
"Sonoma","p11",0.000549832690836053
"Stanislaus","p11",0.000313007187572455
"Tehama","p11",9.47403325385672e-05
"Trinity","p11",0.000219218122031421
"Tulare","p11",0.000371544191376594
"Tuolumne","p11",0.000255334670800657
"Ventura","p11",0.00150584448360979
"Yolo","p11",0.000589243094962219
"Yuba","p11",0.000151747161638318
"Alameda","p12",0.000467896025393818
"Alpine","p12",0
"Amador","p12",0.000161707632600259
"Butte","p12",0.000267126667843835
"Calaveras","p12",0.00031239540332478
"Colusa","p12",0.000469836496899079
"Contra Costa","p12",0.00071551336924202
"Del Norte","p12",0.000106420716566158
"El Dorado","p12",0.000636854492593105
"Fresno","p12",0.000232793147416261
"Glenn","p12",0.00014362141395282
"Humboldt","p12",0.000282376720268704
